repo_full_name,type,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
langchain-ai/langchain,framework,116860,98.6,3526,725,2025-10-09T03:49:55Z,https://github.com/langchain-ai/langchain,fastapi,🦜🔗 Build context-aware reasoning applications
apache/airflow,webapp,42722,92.08,3910,1652,2025-10-09T02:53:49Z,https://github.com/apache/airflow,flask,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
Significant-Gravitas/AutoGPT,framework,178887,63.41,795,411,2025-10-09T08:40:39Z,https://github.com/Significant-Gravitas/AutoGPT,fastapi,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
vllm-project/vllm,library,59688,85.35,1656,2658,2025-10-09T08:32:32Z,https://github.com/vllm-project/vllm,"fastapi,flask",A high-throughput and memory-efficient inference and serving engine for LLMs
langflow-ai/langflow,webapp,130080,51.27,306,386,2025-10-09T03:22:12Z,https://github.com/langflow-ai/langflow,fastapi,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
getsentry/sentry,webapp,42167,56.51,978,4793,2025-10-09T08:41:52Z,https://github.com/getsentry/sentry,django,Developer-first error tracking and performance monitoring
WeblateOrg/weblate,webapp,5439,85.18,1988,2282,2025-10-09T08:33:58Z,https://github.com/WeblateOrg/weblate,django,Web based localization tool with tight version control integration.
ray-project/ray,framework,39248,73.83,1367,1476,2025-10-09T07:33:56Z,https://github.com/ray-project/ray,"fastapi,flask,gradio",Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
celery/celery,framework,27305,98.56,1440,42,2025-10-09T06:53:45Z,https://github.com/celery/celery,django,Distributed Task Queue (development branch)
bregman-arie/devops-exercises,collection,79259,66.12,216,10,2025-10-07T17:14:54Z,https://github.com/bregman-arie/devops-exercises,flask,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions"
All-Hands-AI/OpenHands,64017,64032,78.32,387,588,2025-10-09T05:35:03Z,https://github.com/All-Hands-AI/OpenHands,"fastapi,flask,streamlit","🙌 OpenHands: Code Less, Make More"
openedx/edx-platform,webapp,7875,72.29,1502,425,2025-10-08T18:25:15Z,https://github.com/openedx/edx-platform,"django,fastapi","The Open edX LMS & Studio, powering education sites around the world!"
Lightning-AI/pytorch-lightning,framework,30226,99.73,1043,193,2025-10-07T12:58:08Z,https://github.com/Lightning-AI/pytorch-lightning,fastapi,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
xtekky/gpt4free,toolkit,65387,98.25,259,366,2025-10-08T12:09:35Z,https://github.com/xtekky/gpt4free,"fastapi,flask","The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
mindsdb/mindsdb,webapp,36311,99.82,878,170,2025-10-09T07:19:11Z,https://github.com/mindsdb/mindsdb,"fastapi,flask","AI Analytics and Knowledge Engine for RAG over large-scale, heterogeneous data. - The only MCP Server you'll ever need"
geekcomputers/Python,collection,34122,94.38,823,218,2025-10-08T18:05:49Z,https://github.com/geekcomputers/Python,"django,fastapi,flask",My Python Examples
mlflow/mlflow,webapp,22416,53.11,901,831,2025-10-09T08:39:43Z,https://github.com/mlflow/mlflow,"fastapi,flask","The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform."
Shubhamsaboo/awesome-llm-apps,collection,71461,66.8,53,90,2025-10-08T02:58:42Z,https://github.com/Shubhamsaboo/awesome-llm-apps,"fastapi,gradio,streamlit","Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
wagtail/wagtail,webapp,19692,76.12,1017,288,2025-10-07T09:38:21Z,https://github.com/wagtail/wagtail,django,A Django content management system focused on flexibility and user experience
